2,global_rounds,id_list
3,0,"[0, 6]"
4,1,"[3, 9]"
5,2,"[19, 0]"
6,3,"[4, 11]"
7,4,"[2, 11]"
8,5,"[1, 5]"
9,6,"[9, 8]"
10,7,"[5, 4]"
11,8,"[11, 9]"
12,9,"[5, 16]"
13,10,"[18, 3]"
14,11,"[1, 18]"
15,12,"[2, 11]"
16,13,"[3, 9]"
17,14,"[15, 18]"
18,15,"[1, 16]"
19,16,"[10, 13]"
20,17,"[5, 17]"
21,18,"[7, 1]"
22,19,"[12, 5]"
23,20,"[0, 6]"
24,21,"[15, 1]"
25,22,"[3, 16]"
26,23,"[17, 12]"
27,24,"[13, 8]"
28,25,"[3, 8]"
29,26,"[14, 10]"
30,27,"[9, 1]"
31,28,"[9, 16]"
32,29,"[9, 11]"
33,30,"[11, 1]"
34,31,"[18, 7]"
35,32,"[18, 19]"
36,33,"[17, 14]"
37,34,"[0, 14]"
38,35,"[18, 8]"
39,36,"[19, 14]"
40,37,"[11, 3]"
41,38,"[12, 8]"
42,39,"[7, 1]"
43,40,"[18, 6]"
44,41,"[1, 3]"
45,42,"[17, 18]"
46,43,"[0, 18]"
47,44,"[19, 8]"
48,45,"[19, 11]"
49,46,"[13, 15]"
50,47,"[3, 7]"
51,48,"[9, 7]"
52,49,"[4, 10]"
53,50,"[16, 15]"
54,51,"[6, 15]"
55,52,"[13, 15]"
56,53,"[18, 3]"
57,54,"[3, 4]"
58,55,"[1, 2]"
59,56,"[16, 17]"
60,57,"[13, 6]"
61,58,"[4, 12]"
62,59,"[19, 1]"
63,60,"[4, 1]"
64,61,"[1, 3]"
65,62,"[8, 18]"
66,63,"[12, 19]"
67,64,"[8, 19]"
68,65,"[18, 12]"
69,66,"[15, 11]"
70,67,"[19, 16]"
71,68,"[2, 0]"
72,69,"[14, 12]"
73,70,"[3, 15]"
74,71,"[16, 5]"
75,72,"[0, 14]"
76,73,"[1, 8]"
77,74,"[14, 12]"
78,75,"[2, 19]"
79,76,"[16, 0]"
80,77,"[15, 16]"
81,78,"[16, 15]"
82,79,"[4, 2]"
83,80,"[14, 1]"
84,81,"[2, 15]"
85,82,"[2, 0]"
86,83,"[2, 8]"
87,84,"[10, 16]"
88,85,"[2, 15]"
89,86,"[19, 11]"
90,87,"[2, 6]"
91,88,"[13, 19]"
92,89,"[12, 18]"
93,90,"[2, 10]"
94,91,"[2, 10]"
95,92,"[0, 9]"
96,93,"[1, 11]"
97,94,"[0, 4]"
98,95,"[6, 12]"
99,96,"[10, 6]"
100,97,"[16, 11]"
101,98,"[5, 8]"
102,99,"[8, 1]"
103,100,"[18, 17]"
